Fiscal Quarter,Week Start,Month,Team,Sales Manager,Rep ID,Rep Name,Vendor,Product Codes,Units,Revenue
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 1,123651,A,V 1,SAASPCCB01 ,385,"$4,487 "
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 1,123651,A,V 2,SAASPCMS01 ,488,"$6,821 "
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 1,123555,B,V 3,4L41R48670 ,1,$160 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 1,123555,B,V 2,SAASPCMS01 ,1,$22 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 1,123549,AR,V 4,5641PX3 ,1,$78 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 1,123549,AR,V 4,5WS1C40285 ,1,$57 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 1,123549,AR,V 2,SAASPCMS01 ,13,$107 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 1,123546,AR,V 1,SAASPCCB01 ,53,$541 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 1,123562,AR,V 2,5MS1Q52207 ,1,$225 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 1,123562,AR,V 2,SAASPCMS01 ,115,"$3,481 "
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 1,123496,AT,V 4,7S0XCTO5WW ,1,$105 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 1,123496,AT,V 2,5MS1Q52208 ,1,$125 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 1,123496,AT,V 2,7S1SCTO5WW ,1,"$1,002 "
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 1,123496,AT,V 2,7S1SCTOAWW ,1,"$1,237 "
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 1,123621,AT,V 3,4L41R48670 ,1,$160 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 1,123621,AT,V 4,5WS1C40285 ,1,$57 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 2,123638,AR,V 3,4L41R48670 ,4,$608 
